Date,Confirmed Cases,Date,Confirmed Deaths,Date,Prob and Suspected Cases,Date,Prob and Suspected Deaths,Date,Probable Cases,Date,Probable Deaths,Date,Suspected Cases
2015-01-09,2493.0,2015-01-09,1515.0,2015-01-09,2793.0,2015-01-09,1797.0,2015-01-09,282.0,2015-01-09,282.0,2015-01-09,18.0
2015-01-08,2477.0,2015-01-08,1504.0,2015-01-08,2776.0,2015-01-08,1786.0,2015-01-08,282.0,2015-01-08,282.0,2015-01-08,17.0
2015-01-07,2471.0,2015-01-07,1499.0,2015-01-07,2775.0,2015-01-07,1781.0,2015-01-07,282.0,2015-01-07,282.0,2015-01-07,22.0
2015-01-06,2471.0,2015-01-06,1499.0,2015-01-06,2775.0,2015-01-06,1781.0,2015-01-06,282.0,2015-01-06,282.0,2015-01-06,22.0
2015-01-05,2465.0,2015-01-05,1488.0,2015-01-05,2769.0,2015-01-05,1767.0,2015-01-05,280.0,2015-01-05,280.0,2015-01-05,26.0
2015-01-02,2435.0,2015-01-02,1463.0,2015-01-02,2730.0,2015-01-02,1739.0,2015-01-02,276.0,2015-01-02,276.0,2015-01-02,19.0
2014-12-31,2397.0,2014-12-31,1433.0,2014-12-31,2707.0,2014-12-31,1709.0,2014-12-31,276.0,2014-12-31,276.0,2014-12-31,34.0
2014-12-30,2397.0,2014-12-30,1433.0,2014-12-30,2706.0,2014-12-30,1708.0,2014-12-30,275.0,2014-12-30,275.0,2014-12-30,34.0
2014-12-29,2384.0,2014-12-29,1422.0,2014-12-29,2695.0,2014-12-29,1697.0,2014-12-29,275.0,2014-12-29,275.0,2014-12-29,36.0
2014-12-26,2342.0,2014-12-26,1385.0,2014-12-26,2630.0,2014-12-26,1654.0,2014-12-26,269.0,2014-12-26,269.0,2014-12-26,19.0
2014-12-24,2284.0,2014-12-24,1344.0,2014-12-24,2597.0,2014-12-24,1607.0,2014-12-24,263.0,2014-12-24,263.0,2014-12-24,50.0
2014-12-23,2284.0,2014-12-23,1344.0,2014-12-23,2597.0,2014-12-23,1607.0,2014-12-23,263.0,2014-12-23,263.0,2014-12-23,50.0
2014-12-22,2259.0,2014-12-22,1323.0,2014-12-22,2571.0,2014-12-22,1586.0,2014-12-22,263.0,2014-12-22,263.0,2014-12-22,49.0
2014-12-17,2127.0,2014-12-17,1262.0,2014-12-17,2416.0,2014-12-17,1525.0,2014-12-17,263.0,2014-12-17,263.0,2014-12-17,26.0
2014-12-15,2115.0,2014-12-15,1255.0,2014-12-15,2394.0,2014-12-15,1518.0,2014-12-15,263.0,2014-12-15,263.0,2014-12-15,16.0
2014-12-10,2051.0,2014-12-10,1207.0,2014-12-10,2292.0,2014-12-10,1428.0,2014-12-10,221.0,2014-12-10,221.0,2014-12-10,20.0
2014-12-03,1929.0,2014-12-03,1117.0,2014-12-03,2164.0,2014-12-03,1327.0,2014-12-03,210.0,2014-12-03,210.0,2014-12-03,25.0
